sp|P0ABR7|CNTA_ECOLI,WP_000067822.1,100.000,374,0,0,1,374,1,374,0.0,790
sp|P0ABR7|CNTA_ECOLI,WP_000067806.1,99.733,374,1,0,1,374,1,374,0.0,789
sp|P0ABR7|CNTA_ECOLI,WP_000067820.1,99.733,374,1,0,1,374,1,374,0.0,789
sp|P0ABR7|CNTA_ECOLI,YP_002412819.1,99.733,374,1,0,1,374,1,374,0.0,789
sp|P0ABR7|CNTA_ECOLI,YP_002407259.1,99.733,374,1,0,1,374,1,374,0.0,788
sp|P0ABR7|CNTA_ECOLI,WP_000067834.1,99.465,374,2,0,1,374,1,374,0.0,787
sp|P0ABR7|CNTA_ECOLI,WP_000067805.1,99.733,374,1,0,1,374,1,374,0.0,787
sp|P0ABR7|CNTA_ECOLI,WP_032341932.1,99.465,374,2,0,1,374,1,374,0.0,785
sp|P0ABR7|CNTA_ECOLI,OUT22132.1,26.247,381,241,8,23,373,30,400,3.83e-41,154
sp|P0ABR7|CNTA_ECOLI,KGK40148.1,26.247,381,241,8,23,373,30,400,8.65e-41,153
sp|P0ABR7|CNTA_ECOLI,RLP64492.1,26.596,376,239,10,23,374,27,389,1.46e-38,147
sp|P0ABR7|CNTA_ECOLI,KHC51117.1,26.330,376,240,10,23,374,27,389,3.84e-38,145
sp|P0ABR7|CNTA_ECOLI,KHC62951.1,26.330,376,240,10,23,374,27,389,4.38e-38,145
sp|P0ABR7|CNTA_ECOLI,KGT68275.1,26.330,376,240,10,23,374,27,389,5.27e-38,145
sp|P0ABR7|CNTA_ECOLI,KHC53023.1,26.330,376,240,10,23,374,27,389,5.96e-38,145
sp|P0ABR7|CNTA_ECOLI,KGU07507.1,25.798,376,242,10,23,374,27,389,1.08e-37,144
sp|P0ABR7|CNTA_ECOLI,KHC35690.1,25.798,376,242,10,23,374,27,389,1.13e-37,144
sp|P0ABR7|CNTA_ECOLI,KHC69068.1,25.798,376,242,10,23,374,27,389,1.24e-37,144
sp|P0ABR7|CNTA_ECOLI,KGR07976.1,25.798,376,242,10,23,374,27,389,1.37e-37,144
sp|P0ABR7|CNTA_ECOLI,KHC77346.1,26.064,376,241,10,23,374,27,389,4.09e-37,143
sp|P0ABR7|CNTA_ECOLI,KGU29825.1,25.532,376,243,10,23,374,27,389,4.49e-37,143
sp|P0ABR7|CNTA_ECOLI,KGU25900.1,25.266,376,244,10,23,374,27,389,3.76e-36,140
sp|P0ABR7|CNTA_ECOLI,EEQ45428.1,26.064,376,239,11,23,374,27,387,4.08e-35,137
sp|P0ABR7|CNTA_ECOLI,EER35272.1,24.800,375,244,9,23,374,26,385,6.91e-33,131
sp|P0ABR7|CNTA_ECOLI,OAG14031.1,26.433,314,220,6,23,334,29,333,7.23e-32,128
sp|P0ABR7|CNTA_ECOLI,RYN70229.1,26.168,321,226,6,23,341,26,337,1.00e-31,128
sp|P0ABR7|CNTA_ECOLI,RYN79466.1,29.493,217,144,3,11,223,21,232,4.53e-31,126
sp|P0ABR7|CNTA_ECOLI,OWY52961.1,29.493,217,144,3,11,223,21,232,4.63e-31,126
sp|P0ABR7|CNTA_ECOLI,OAG23429.1,29.493,217,144,3,11,223,50,261,7.02e-31,126
sp|P0ABR7|CNTA_ECOLI,OAG14487.1,25.826,333,228,9,11,338,21,339,1.47e-30,125
sp|P0ABR7|CNTA_ECOLI,OWY45728.1,25.826,333,228,9,11,338,21,339,2.75e-30,124
sp|P0ABR7|CNTA_ECOLI,OWY48301.1,25.795,283,199,6,54,334,88,361,4.01e-22,103
sp|P0ABR7|CNTA_ECOLI,YP_002408677.1,27.922,154,96,4,24,168,20,167,3.96e-15,81.3
sp|P0ABR7|CNTA_ECOLI,WP_000211172.1,27.922,154,96,4,24,168,20,167,4.15e-15,80.9
sp|P0ABR7|CNTA_ECOLI,WP_000211178.1,27.922,154,96,4,24,168,20,167,4.26e-15,80.9
sp|P0ABR7|CNTA_ECOLI,WP_065227417.1,27.922,154,96,4,24,168,20,167,9.14e-15,80.1
sp|P0ABR7|CNTA_ECOLI,WP_118115845.1,26.923,156,90,6,176,320,329,471,1.2,36.2
sp|P0ABR7|CNTA_ECOLI,WP_007478989.1,27.711,83,54,3,62,143,195,272,1.8,35.8
sp|P0ABR7|CNTA_ECOLI,AJU30354.1,28.409,88,50,4,255,336,95,175,3.3,34.7
sp|P0ABR7|CNTA_ECOLI,WP_018543695.1,30.435,92,57,3,204,288,51,142,3.3,34.3
sp|P0ABR7|CNTA_ECOLI,AJU22320.1,28.409,88,50,4,255,336,95,175,4.3,34.3
sp|P0ABR7|CNTA_ECOLI,AJU27325.1,28.409,88,50,4,255,336,95,175,4.4,34.3
