tr|S4HEE6|S4HEE6_GARVA,WP_019261314.1,100.000,478,0,0,1,478,1,478,0.0,994
tr|S4HEE6|S4HEE6_GARVA,WP_013399476.1,99.791,478,1,0,1,478,17,494,0.0,994
tr|S4HEE6|S4HEE6_GARVA,WP_004112221.1,99.791,478,1,0,1,478,1,478,0.0,993
tr|S4HEE6|S4HEE6_GARVA,WP_080560296.1,99.582,478,2,0,1,478,17,494,0.0,992
tr|S4HEE6|S4HEE6_GARVA,WP_004130018.1,99.582,478,2,0,1,478,1,478,0.0,992
tr|S4HEE6|S4HEE6_GARVA,WP_075038499.1,99.582,478,2,0,1,478,17,494,0.0,991
tr|S4HEE6|S4HEE6_GARVA,WP_102990829.1,99.582,478,2,0,1,478,1,478,0.0,991
tr|S4HEE6|S4HEE6_GARVA,WP_016636403.1,99.372,478,3,0,1,478,1,478,0.0,991
tr|S4HEE6|S4HEE6_GARVA,WP_016819218.1,99.582,478,2,0,1,478,1,478,0.0,991
tr|S4HEE6|S4HEE6_GARVA,tr|I4LTR5|I4LTR5_GARVA,99.372,478,3,0,1,478,1,478,0.0,990
tr|S4HEE6|S4HEE6_GARVA,WP_060787177.1,99.163,478,4,0,1,478,1,478,0.0,989
tr|S4HEE6|S4HEE6_GARVA,tr|I4MA41|I4MA41_GARVA,99.372,478,3,0,1,478,1,478,0.0,989
tr|S4HEE6|S4HEE6_GARVA,WP_101887897.1,97.908,478,10,0,1,478,1,478,0.0,976
tr|S4HEE6|S4HEE6_GARVA,WP_016637736.1,97.280,478,13,0,1,478,1,478,0.0,973
tr|S4HEE6|S4HEE6_GARVA,tr|I4M2G2|I4M2G2_GARVA,97.699,478,11,0,1,478,1,478,0.0,973
tr|S4HEE6|S4HEE6_GARVA,WP_004109385.1,97.071,478,14,0,1,478,1,478,0.0,972
tr|S4HEE6|S4HEE6_GARVA,WP_012914420.1,96.862,478,15,0,1,478,1,478,0.0,971
tr|S4HEE6|S4HEE6_GARVA,WP_116794235.1,97.490,478,12,0,1,478,1,478,0.0,971
tr|S4HEE6|S4HEE6_GARVA,WP_102694544.1,97.490,478,12,0,1,478,1,478,0.0,971
tr|S4HEE6|S4HEE6_GARVA,WP_004107300.1,97.071,478,14,0,1,478,1,478,0.0,970
tr|S4HEE6|S4HEE6_GARVA,WP_103084846.1,97.071,478,14,0,1,478,1,478,0.0,969
tr|S4HEE6|S4HEE6_GARVA,WP_075523568.1,94.979,478,24,0,1,478,1,478,0.0,952
tr|S4HEE6|S4HEE6_GARVA,WP_003839859.1,87.866,478,58,0,1,478,1,478,0.0,884
tr|S4HEE6|S4HEE6_GARVA,RFT37878.1,99.764,424,1,0,1,424,1,424,0.0,881
